ID,Group,Prt_Exclude,Sequence,Seq_Exclude,Bag_Origin,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
4179,NT,n,5,n,1.0,"(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(0, 1.0)","(0, 1.0)","(0, 0.368)","(1, 0.289)","(1, 0.6920000000000001)","(1, 0.8390000000000001)","(1, 0.953)","(1, 1.0)","(1, 1.0)","(0, 0.745)","(0, 0.6940000000000001)","(0, 0.552)","(0, 0.32299999999999995)","(0, 0.128)","(0, 0.0)"
4733,NT,n,1,n,0.0,"(1, 0.585)","(0, 0.5670000000000001)","(0, 0.375)","(0, 0.261)","(0, 0.244)","(0, 0.158)","(0, 0.325)","(0, 0.591)","(0, 0.578)","(0, 0.424)","(0, 0.385)","(0, 0.415)","(0, 0.43700000000000006)","(0, 0.4)","(1, 0.385)","(0, 0.38299999999999995)","(1, 0.61)","(0, 0.565)","(0, 0.36200000000000004)","(0, 0.469)"
4733,NT,n,2,n,1.0,"(1, 0.57)","(1, 0.578)","(1, 0.655)","(1, 0.7390000000000001)","(1, 0.7090000000000001)","(1, 0.764)","(1, 0.758)","(1, 0.7859999999999999)","(1, 0.7559999999999999)","(0, 0.6809999999999999)","(0, 0.396)","(0, 0.426)","(0, 0.34)","(1, 0.385)","(0, 0.368)","(0, 0.358)","(0, 0.375)","(0, 0.355)","(0, 0.4)","(0, 0.315)"
4733,NT,n,3,n,0.0,"(0, 0.373)","(1, 0.392)","(0, 0.34700000000000003)","(0, 0.34)","(1, 0.5760000000000001)","(1, 0.589)","(1, 0.61)","(1, 0.672)","(1, 0.677)","(0, 0.61)","(0, 0.379)","(0, 0.368)","(0, 0.302)","(0, 0.377)","(0, 0.364)","(1, 0.58)","(1, 0.591)","(0, 0.606)","(0, 0.32799999999999996)","(0, 0.379)"
4733,NT,n,4,n,1.0,"(1, 0.555)","(1, 0.5760000000000001)","(1, 0.612)","(1, 0.679)","(0, 0.608)","(1, 0.617)","(0, 0.617)","(1, 0.627)","(1, 0.672)","(0, 0.606)","(1, 0.63)","(0, 0.37)","(1, 0.41100000000000003)","(1, 0.5870000000000001)","(1, 0.619)","(1, 0.687)","(0, 0.698)","(1, 0.6809999999999999)","(1, 0.64)","(1, 0.6809999999999999)"
4733,NT,n,5,n,1.0,"(1, 0.66)","(1, 0.754)","(1, 0.754)","(1, 0.867)","(1, 0.9209999999999999)","(0, 0.63)","(0, 0.39)","(0, 0.332)","(1, 0.36)","(1, 0.655)","(1, 0.7090000000000001)","(1, 0.696)","(1, 0.833)","(1, 0.8370000000000001)","(0, 0.6)","(0, 0.33)","(0, 0.261)","(0, 0.21)","(0, 0.057999999999999996)","(0, 0.0)"
5610,NT,n,1,n,0.0,"(1, 0.608)","(0, 0.58)","(0, 0.325)","(0, 0.17300000000000001)","(0, 0.319)","(0, 0.293)","(0, 0.15)","(0, 0.017)","(0, 0.047)","(0, 0.024)","(0, 0.6)","(0, 0.051)","(0, 0.105)","(0, 0.107)","(1, 0.12)","(0, 0.597)","(1, 0.73)","(0, 0.218)","(0, 0.069)","(0, 0.094)"
5610,NT,n,2,n,1.0,"(1, 0.5)","(1, 0.645)","(1, 0.687)","(1, 0.767)","(1, 0.8220000000000001)","(1, 0.951)","(1, 0.9359999999999999)","(1, 0.8759999999999999)","(1, 0.831)","(0, 0.5870000000000001)","(0, 0.615)","(0, 0.5589999999999999)","(0, 0.276)","(1, 0.34700000000000003)","(0, 0.608)","(0, 0.741)","(0, 0.797)","(0, 0.23800000000000002)","(0, 0.113)","(0, 0.377)"
5610,NT,n,3,n,0.0,"(0, 0.632)","(1, 0.7240000000000001)","(0, 0.685)","(0, 0.29600000000000004)","(1, 0.272)","(1, 0.293)","(1, 0.287)","(1, 0.7190000000000001)","(1, 0.8140000000000001)","(0, 0.848)","(0, 0.809)","(0, 0.85)","(0, 0.934)","(0, 0.8220000000000001)","(0, 0.7340000000000001)","(1, 0.084)","(1, 0.111)","(0, 0.154)","(0, 0.255)","(0, 0.244)"
5610,NT,n,4,n,1.0,"(1, 0.968)","(1, 0.867)","(1, 0.955)","(1, 0.8390000000000001)","(0, 0.8420000000000001)","(1, 0.8370000000000001)","(0, 0.848)","(1, 0.7879999999999999)","(1, 0.857)","(0, 0.7090000000000001)","(1, 0.604)","(0, 0.69)","(1, 0.7879999999999999)","(1, 0.8290000000000001)","(1, 0.867)","(1, 0.794)","(0, 0.775)","(1, 0.741)","(1, 0.7070000000000001)","(1, 0.655)"
